BuildingIndex,Year,Month,Day,time,Quarter,temp,rain,wind,huminity,cloud,Generation
1,2019,2,16,0,0,3.8,0,3.3,0.52,4,0
1,2019,2,16,0,1,3.675,0,3.7,0.515,4,0
1,2019,2,16,0,2,3.55,0,4.1,0.51,4,0
1,2019,2,16,0,3,3.425,0,4.5,0.505,4,0
1,2019,2,16,1,0,3.3,0,4.9,0.5,4,0
1,2019,2,16,1,1,3.125,0,4.4,0.5,4,0
1,2019,2,16,1,2,2.95,0,3.9,0.5,4,0
1,2019,2,16,1,3,2.775,0,3.4,0.5,4,0
1,2019,2,16,2,0,2.6,0,2.9,0.5,3,0
1,2019,2,16,2,1,2.5,0,2.875,0.51,4,0
1,2019,2,16,2,2,2.4,0,2.85,0.52,4,0
1,2019,2,16,2,3,2.3,0,2.825,0.53,4,0
1,2019,2,16,3,0,2.2,0,2.8,0.54,4,0
1,2019,2,16,3,1,2.1,0,2.925,0.535,4,0
1,2019,2,16,3,2,2,0,3.05,0.53,4,0
1,2019,2,16,3,3,1.9,0,3.175,0.525,4,0
1,2019,2,16,4,0,1.8,0,3.3,0.52,3,0
1,2019,2,16,4,1,1.7,0,3.65,0.5025,3,0
1,2019,2,16,4,2,1.6,0,4,0.485,3,0
1,2019,2,16,4,3,1.5,0,4.35,0.4675,3,0
1,2019,2,16,5,0,1.4,0,4.7,0.45,3,0
1,2019,2,16,5,1,1.325,0,4.425,0.465,4,0
1,2019,2,16,5,2,1.25,0,4.15,0.48,4,0
1,2019,2,16,5,3,1.175,0,3.875,0.495,4,0
1,2019,2,16,6,0,1.1,0,3.6,0.51,4,0
1,2019,2,16,6,1,1,0,3.575,0.51,4,0
1,2019,2,16,6,2,0.9,0,3.55,0.51,4,0
1,2019,2,16,6,3,0.8,0,3.525,0.51,4,0
1,2019,2,16,7,0,0.7,0,3.5,0.51,4,0
1,2019,2,16,7,1,0.625,0,3.575,0.5075,4,0
1,2019,2,16,7,2,0.55,0,3.65,0.505,4,0.4
1,2019,2,16,7,3,0.475,0,3.725,0.5025,4,0.8
1,2019,2,16,8,0,0.4,0,3.8,0.5,4,1.6
1,2019,2,16,8,1,0.375,0,3.575,0.4975,4,2.4
1,2019,2,16,8,2,0.35,0,3.35,0.495,3,2.8
1,2019,2,16,8,3,0.325,0,3.125,0.4925,3,5.2
1,2019,2,16,9,0,0.3,0,2.9,0.49,2,5.6
1,2019,2,16,9,1,0.225,0,2.95,0.5175,2,3.2
1,2019,2,16,9,2,0.15,0,3,0.545,2,2
1,2019,2,16,9,3,0.075,0,3.05,0.5725,1,5.6
1,2019,2,16,10,0,0,0,3.1,0.6,1,7.6
1,2019,2,16,10,1,-0.025,0,3.325,0.595,1,12.8
1,2019,2,16,10,2,-0.05,0,3.55,0.59,1,8
1,2019,2,16,10,3,-0.075,0,3.775,0.585,1,8.8
1,2019,2,16,11,0,-0.1,0,4,0.58,1,8.8
1,2019,2,16,11,1,0.15,0,4.075,0.5675,2,4
1,2019,2,16,11,2,0.4,0,4.15,0.555,2,12.4
1,2019,2,16,11,3,0.65,0,4.225,0.5425,3,14
1,2019,2,16,12,0,0.9,0,4.3,0.53,3,5.2
1,2019,2,16,12,1,1.075,0,4.175,0.51,3,11.6
1,2019,2,16,12,2,1.25,0,4.05,0.49,3,14.8
1,2019,2,16,12,3,1.425,0,3.925,0.47,3,16
1,2019,2,16,13,0,1.6,0,3.8,0.45,3,14.8
1,2019,2,16,13,1,1.975,0,3.75,0.4375,3,16.4
1,2019,2,16,13,2,2.35,0,3.7,0.425,3,15.6
1,2019,2,16,13,3,2.725,0,3.65,0.4125,3,15.6
1,2019,2,16,14,0,3.1,0,3.6,0.4,3,14.4
1,2019,2,16,14,1,2.925,0,4.125,0.3925,3,14
1,2019,2,16,14,2,2.75,0,4.65,0.385,3,13.2
1,2019,2,16,14,3,2.575,0,5.175,0.3775,2,12.4
1,2019,2,16,15,0,2.4,0,5.7,0.37,2,12
1,2019,2,16,15,1,2.525,0,5.425,0.365,1,10.4
1,2019,2,16,15,2,2.65,0,5.15,0.36,1,10
1,2019,2,16,15,3,2.775,0,4.875,0.355,0,8.8
1,2019,2,16,16,0,2.9,0,4.6,0.35,0,7.6
1,2019,2,16,16,1,3,0,4.675,0.3475,0,6
1,2019,2,16,16,2,3.1,0,4.75,0.345,0,4.8
1,2019,2,16,16,3,3.2,0,4.825,0.3425,0,4
1,2019,2,16,17,0,3.3,0,4.9,0.34,0,2.4
1,2019,2,16,17,1,3.025,0,4.775,0.34,0,0.8
1,2019,2,16,17,2,2.75,0,4.65,0.34,0,0.8
1,2019,2,16,17,3,2.475,0,4.525,0.34,0,0
1,2019,2,16,18,0,2.2,0,4.4,0.34,0,0
1,2019,2,16,18,1,2.075,0,4.075,0.345,0,0
1,2019,2,16,18,2,1.95,0,3.75,0.35,1,0
1,2019,2,16,18,3,1.825,0,3.425,0.355,1,0
1,2019,2,16,19,0,1.7,0,3.1,0.36,1,0
1,2019,2,16,19,1,1.575,0,3.275,0.365,1,0
1,2019,2,16,19,2,1.45,0,3.45,0.37,0,0
1,2019,2,16,19,3,1.325,0,3.625,0.375,0,0
1,2019,2,16,20,0,1.2,0,3.8,0.38,0,0
1,2019,2,16,20,1,1.025,0,3.775,0.385,0,0
1,2019,2,16,20,2,0.85,0,3.75,0.39,0,0
1,2019,2,16,20,3,0.675,0,3.725,0.395,1,0
1,2019,2,16,21,0,0.5,0,3.7,0.4,1,0
1,2019,2,16,21,1,0.4,0,3.5,0.405,2,0
1,2019,2,16,21,2,0.3,0,3.3,0.41,2,0
1,2019,2,16,21,3,0.2,0,3.1,0.415,2,0
1,2019,2,16,22,0,0.1,0,2.9,0.42,2,0
1,2019,2,16,22,1,-0.025,0,2.75,0.42,3,0
1,2019,2,16,22,2,-0.15,0,2.6,0.42,3,0
1,2019,2,16,22,3,-0.275,0,2.45,0.42,3,0
1,2019,2,16,23,0,-0.4,0,2.3,0.42,3,0
1,2019,2,16,23,1,-0.475,0,2.3,0.4225,3,0
1,2019,2,16,23,2,-0.55,0,2.3,0.425,3,0
1,2019,2,16,23,3,-0.625,0,2.3,0.4275,3,0
